x,pressure
36900.0,425364.7267610574
36950.0,423078.7759618331
37000.0,414474.93133180204
37050.0,405871.0965396724
37100.0,397267.2519096414
37150.0,388663.41711751174
37200.0,380059.5724874807
37250.0,787118.6571879081
37300.0,778514.812557877
37350.0,769910.9777657473
37400.0,761307.1331357163
37450.0,752703.2983435866
37500.0,744099.4537135556
37550.0,735399.0239555651
37600.0,722428.597274322
37650.0,708820.7139338012
37700.0,695212.8305932804
37750.0,681604.9472527596
37800.0,667997.0639122388
37850.0,654292.5856058566
37900.0,640684.7022653358
37950.0,627076.8287627164
38000.0,613468.9454221956
38050.0,599861.0620816748
38100.0,586253.178741154
38150.0,572548.7004347718
38200.0,567198.4170428775
38250.0,576864.6961919765
38300.0,586530.975341075
38350.0,596197.254490174
38400.0,605863.533639273
38450.0,615433.21782251
38500.0,625099.4969716091
38550.0,634765.7761207081
38600.0,644432.0552698065
38650.0,654098.3344189055
38700.0,663668.0186021432
38750.0,673334.2977512416
38798.44,682665.5652188433
40268.8,613507.6290962301
40300.0,606689.2153047106
40350.0,595860.1849459504
40400.0,584934.5596213293
40450.0,574105.5194246683
40500.0,563276.4890659086
40550.0,552447.4587071489
40600.0,541618.4185104879
40650.0,530789.3881517282
40700.0,522222.41936416394
40750.0,519857.64391089213
40800.0,517492.858619719
40850.0,515128.07332854584
40900.0,512763.29787527403
40950.0,510301.9176182394
41000.0,507937.1323270668
41050.0,505572.356873795
41100.0,503207.57158262184
41150.0,500842.7862914487
41200.0,498478.0108381769
41250.0,496016.63058114285
41300.0,493651.8452899697
41350.0,490695.68406968826
41400.0,487552.6223985617
41450.0,484409.570565337
41500.0,481266.51873211184
41550.0,478026.8719330258
41600.0,474883.8102618992
41650.0,471740.75842867454
41700.0,468597.70659544936
41750.0,465454.6547622242
41800.0,462214.9981252367
41850.0,459071.94629201153
41900.0,455928.8944587869
41950.0,454316.52170477976
42000.0,457495.47935970547
42050.0,460674.43701463065
42100.0,463756.79970369494
42150.0,466935.7671407192
42200.0,470114.7247956449
42250.0,473293.6824505701
42300.0,476472.6401054958
42350.0,479555.0027945601
42400.0,482733.9604494858
42450.0,485912.9278865095
42500.0,489091.8855414352
42550.0,492270.8431963609
42600.0,489192.7608639983
42650.0,483601.91465711815
42700.0,478107.66341609944
42750.0,472613.41217508074
42800.0,467119.16093406256
42850.0,461624.90969304385
42900.0,456130.65845202515
42950.0,450539.81224514556
43000.0,445045.56100412685
43050.0,439551.30976310815
43100.0,434057.05852208997
43150.0,428562.80728107126
43200.0,427167.96213466
43250.0,442205.91443288943
43300.0,457243.8667311189
43350.0,472281.81902934774
43400.0,487319.7713275772
43450.0,502357.7236258066
43500.0,517299.08095817466
43550.0,532337.0332564041
43600.0,547374.9855546335
43650.0,562412.937852863
43700.0,577450.8901510924
43750.0,592488.8424493219
43800.0,607430.1997816899
43850.0,618731.380633583
43900.0,628311.9099063766
43950.0,637892.4391791698
44000.0,647472.968451963
44050.0,656956.9027588947
44100.0,666537.4320316884
44150.0,676117.951522383
44200.0,685698.4807951762
44250.0,695182.4151021085
44300.0,704666.3494090402
44350.0,714246.8786818334
44398.31,723531.7868079295
44398.31,723338.5968762067
44400.0,723441.0280911814
44450.0,729384.2013856842
44500.0,716884.8266495051
44550.0,704482.0567170887
44600.0,692079.276946771
44650.0,679676.5070143546
44700.0,667273.7272440363
44750.0,654870.9573116199
44800.0,642371.5825754408
44850.0,629968.8126430244
44900.0,617566.042710608
44950.0,605163.2629402897
45000.0,592760.4930078733
45050.0,580357.7132375556
45100.0,572369.3999725858
45150.0,566937.4521611497
45200.0,561505.5141876149
45250.0,556073.5663761782
45300.0,550641.618564742
45350.0,545209.6707533053
45400.0,539681.1279760078
45450.0,534249.1900024724
45500.0,528817.2421910362
45550.0,523385.2943796001
45600.0,517953.34656816337
45650.0,512521.40859462856
45700.0,506935.1566877035
45750.0,501053.53807896056
45800.0,495171.9293081195
45850.0,489290.31069937657
45900.0,483408.70192853553
45950.0,477527.0833197926
46000.0,471548.87958308955
46050.0,465667.2708122485
46100.0,459785.65220350557
46150.0,453904.04343266453
46200.0,448022.4248239216
46250.0,442140.81605308055
46300.0,436162.6024784761
46350.0,430153.92737312
46400.0,424063.86330946046
46450.0,417973.7992458015
46500.0,411883.72534424067
46550.0,405793.66128058115
46600.0,399607.0022510602
46650.0,393516.9381874013
46700.0,387426.8642858404
46750.0,381336.8002221809
46800.0,789729.0228822397
46850.0,783638.9588185801
46900.0,777452.2899511579
46950.0,772039.4079926397
47000.0,773393.5151542053
47050.0,774747.6125336722
47100.0,776101.7196952378
47150.0,777455.8170747048
47200.0,778713.3292704088
47250.0,780067.4266498752
47300.0,781421.5338114408
47350.0,782775.6311909078
47400.0,784129.7383524734
47450.0,785483.8357319403
47500.0,786741.3479276444
47550.0,788095.45508921
47600.0,788003.5333077012
47650.0,786829.5059972408
47700.0,785655.4786867803
47750.0,784481.4513763199
47800.0,783210.829099998
47850.0,782036.801789537
47900.0,780862.7744790765
47950.0,779688.747168616
48000.0,778514.7198581556
48050.0,777340.6925476951
48100.0,776070.0702713733
48150.0,774896.0429609122
48200.0,773656.3386404684
48250.0,771242.7278446348
48300.0,768829.1170488006
48350.0,766415.5062529669
48400.0,763905.3004912719
48450.0,761491.6896954383
48500.0,759078.078899604
48550.0,756664.4779416717
48600.0,754250.8671458381
48650.0,751837.2563500045
48700.0,749327.0505883088
48750.0,746913.4397924752
48800.0,744499.8289966416
48850.0,742377.9906806037
48900.0,740510.3637368064
48950.0,738642.7269551085
49000.0,736678.5050454504
49050.0,734810.8781016538
49100.0,732943.2511578565
49150.0,731075.6143761586
49200.0,729207.9874323619
49250.0,727340.3604885647
49300.0,725376.1385789067
49350.0,723508.5017972087
49400.0,721640.874853412
49450.0,719747.0889297856
49500.0,716203.2213176193
49550.0,712659.353705453
49600.0,709018.8812895239
49650.0,705475.0136773571
49700.0,701931.1460651908
49750.0,698387.2784530245
49800.0,694843.4010029568
49850.0,691299.5333907905
49900.0,687659.0708127627
49950.0,684115.2032005964
50000.0,680571.3355884296
50050.0,677027.4581383619
50100.0,675247.9000879208
50150.0,675246.2279480726
50200.0,675147.9608423624
50250.0,675146.2789204156
50300.0,675144.6067805673
50350.0,675142.9346407191
50400.0,675141.2527187723
50450.0,675139.580578924
50500.0,675041.3134732144
50550.0,675039.6413333662
50600.0,675037.9594114193
50650.0,675036.2872715711
50700.0,675034.6151317229
50750.0,681132.0716853053
50800.0,687269.9706922789
50850.0,693504.4646651134
50874.13,696392.7257057732
50999.26,712272.4304718184
51000.0,712207.9563657164
51050.0,718442.4503385508
51100.0,724580.3493455244
51150.0,730814.8433183595
51200.0,737049.3470732925
51250.0,743283.8410461275
51300.0,749518.3350189619
51350.0,748488.818651082
51400.0,738763.4763249767
51450.0,729134.7388026341
51500.0,719505.9914423901
51550.0,709877.2440821462
51600.0,700248.4967219023
51650.0,690619.7493616584
51700.0,680894.407035553
51750.0,671265.6695132104
51800.0,661636.9221529665
51850.0,652008.1747927226
51900.0,642379.427432478
51950.0,632750.6800722341
52000.0,622967.3531552628
52050.0,613276.951666929
52100.0,603586.5501785956
52150.0,593896.1388523603
52200.0,584205.737364027
52250.0,574515.3358756931
